text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count,label
b'Non medical Twitter followers Below is an easy to read synopsis as to where we currently are with management of CO',2020-10-24 09:04:34,,en,,,10915,6710,"Anaesthesia & ICM Consultant, NHS advocate, sports fan/cricket umpire. Mission: remove ""Withdrawal of care"" & DNAR from med vocabulary. It's DNACPR & we care!",,3365511567,2015-07-08 07:41:47,False,False,,1,1010,False,,408,True,Joseph Cosgrove,,JosephCosgrove7,True,C0DEED,http://pbs.twimg.com/profile_images/1250536885426032640/CuUqDEIN_normal.jpg,,1319927756298375168,0,False,Twitter Web App,False,0,economy

b'Majority of Govt doctors maintain the own private hospitals without registration under KPME act You have no capac',2020-10-24 09:04:35,,en,,,3082,4925,President Indian Academy of Paediatrics Vijaypur District. Agitating to end Female Feticide & Sand Mafia to save rivers.Retired DHO.Former BJP MLA INDI 2008-13,Indi-586209 Vijaypur Karnataka,4652926813,2015-12-26 03:16:48,False,False,,4,594,False,,86,True,Dr.Sarvabhoum Bagali M D (ped) M Sc (Nutrition),,drsarvabhoum,False,F5F8FA,http://pbs.twimg.com/profile_images/1267688122331983872/l1BERdQ1_normal.jpg,,1319927759519449089,0,False,Twitter for iPad,False,0,economy

b'Total Insanity There will be severe consequences for the Welsh ASSEMBLY they are no G',2020-10-24 09:04:35,,en,,,22589,32677,Fighting On. Spit & Vinegar gets me through the days,Citizen Of Hell,3190261584,2015-05-10 02:12:23,False,False,,1,383,False,,1410,True,Taken my Borrowed Vote back Boris,,PhHateLoveUK,False,C0DEED,http://pbs.twimg.com/profile_images/1310834874765336577/sfb0TnMV_normal.jpg,,1319927761159344129,0,False,Twitter for Android,False,0,economy

b'UK s prime minister warns COVID 19 airport testing only 7 accurate News LifeSite',2020-10-24 09:04:36,,en,,,2351,3521,"being a very caring person, and I am a Christian, and believe that that God's word is true.","Cumbernauld, Scotland",1252930108060565504,2020-04-22 12:00:40,False,False,,0,89,False,,748,True,James Neil,,JamesNe70380049,False,F5F8FA,http://pbs.twimg.com/profile_images/1279168960043397121/eMhoYxg9_normal.jpg,,1319927762279403520,0,False,Twitter Web App,False,0,economy

b'Today s the day NorwichSciFestAtHome is live Visit for details of the full online progra',2020-10-24 09:04:36,,en,,,10939,9266,"Information about public events happening in and around the University of East Anglia, from gigs to lectures, exhibitions and family activities.",,2219848278,2013-11-28 14:40:13,False,False,http://www.uea.ac.uk/events,51,6433,False,,1325,False,UEA Events,,UEAEvents,True,272626,http://pbs.twimg.com/profile_images/1214578819249721345/j0KOuyjU_normal.jpg,,1319927763583860737,0,False,Twitter for Android,False,0,economy

b'Bending the curve Harlem Children s Zone seeks to scale Covid 19 relief through The Audac via',2020-10-24 09:04:36,,en,,,3936,1357,Director /Executive Principal Leading AP SEMH specialist trust and specialist behaviour improvement programmes for our most vulnerable across schools #APnewdeal,North West UK ,877518978935140352,2017-06-21 13:30:02,False,False,,2,783,False,,1137,False,Karen Thomson @New Horizons North West,,TBAPNorthWest,False,000000,http://pbs.twimg.com/profile_images/1309759269441605632/wbAFvtBB_normal.jpg,,1319927764795985921,0,False,Twitter for iPhone,False,0,economy

b'I d love to but COVID 19 you know',2020-10-24 09:04:37,,en,,,3698,492,"Retired Accountant, stereotypes don't get much more exciting than that!",Shepparton,1562719778,2013-07-02 09:38:26,False,False,,2,228,False,,475,True,Geoff Cobbledick,,CobbleGeoff,False,C0DEED,http://pbs.twimg.com/profile_images/505861888870060032/8Fa2OJTS_normal.jpeg,,1319927766146453504,0,False,Twitter for iPad,False,0,economy

b'Univ of Northern Iowa sees increase in COVID 19 positivity rate up to 24',2020-10-24 09:04:37,,en,,,30108,17076,,Idaho,1009567321160015872,2018-06-20 22:43:01,False,False,,3,1435,False,,4580,True,Amlynne,,Amlynne1,False,F5F8FA,http://pbs.twimg.com/profile_images/1210458155240456192/QbuH4FDZ_normal.jpg,,1319927768474284034,0,False,Twitter Web App,False,0,economy

b'Insurance companies cannot reject your COVID 19 claims without a solid reason',2020-10-24 09:04:38,,en,,,4,6,spreading financial literacy in india,,1202658322572349440,2019-12-05 18:38:14,False,False,https://moneyhandle.in/,0,0,False,,3,True,moneyhandle,,moneyhandle1,False,F5F8FA,http://pbs.twimg.com/profile_images/1202658637283504132/D2k69q9k_normal.jpg,,1319927770022019073,0,False,Twitter Web App,False,0,economy

b'you need to refund this woman s for this flight She paid 55 at least for the bag',2020-10-24 09:04:39,,en,,,0,7,They/them. NC.,,1248770006168600578,2020-04-11 00:29:18,False,False,,0,0,False,,0,True,BillieBadass,,BillieBadass6,False,F5F8FA,http://pbs.twimg.com/profile_images/1248770245034213377/sb3Q0Z99_normal.jpg,,1319927775944388608,0,False,Twitter for iPhone,False,0,economy

b'There is a WTO Brexit will see Britain soar amp the fact EU fear this most should serve as reassurance surely',2020-10-24 09:04:40,,en,,,31427,44483,"Keen follower of politics & despise duplicity, lies & corruption, so that eliminates the MSM! I tell it as I see it!","South East, England",1112670644662161410,2019-04-01 10:58:48,False,False,,6,3654,False,,4442,True,Britain�sFutureWillBeInOurHands!,,wemustleave1,False,F5F8FA,http://pbs.twimg.com/profile_images/1223364571395690496/QNjj9jOf_normal.jpg,,1319927779232808960,0,False,Twitter for iPad,False,0,economy

b'You can sue but you will lose because it is the truth Ivanka Jared Don t blame us on Times Square billboards fo',2020-10-24 09:04:40,,en,,,292,269379,"Trying to change the way patient complaints are handle, http://t.co/oABQ9nUp",Brampton.Ont,38639718,2009-05-08 10:12:38,False,False,http://linkis.com/blogspot.com/Nhf1O,28,2103,False,,1947,True,Lise Latulippe,,lise_latulippe,False,C0DEED,http://pbs.twimg.com/profile_images/978033151586045952/zewK6PID_normal.jpg,,1319927781334130688,0,False,Twitter Web App,False,0,economy

b'London braces for fourth protest against Covid 19 restrictions Coronavirus',2020-10-24 09:04:41,,en,,,87,52586,Raj Gaur,"New Delhi, India",1089609199,2013-01-14 17:13:34,False,False,http://www.ways2rock.com,2,48,False,,60,False,WaYs2rOcK,,WaYs2rOcK,False,000000,http://pbs.twimg.com/profile_images/811176025962881024/gtzf7Ncg_normal.jpg,,1319927785889083392,0,False,WordPress.com,False,0,economy

b'COVID 19 Updated Client Notice Curchin NJ CPA',2020-10-24 09:04:41,,en,,,4736,7360,"Once you have determined that now is a great time to lose some weight, make a plan and stick to it.",United States,1530729662,2013-06-19 12:32:48,False,False,http://www.dietrecipesdaily.com,10,1922,False,,4204,False,Diet Recipes Daily,,dietrecipesd,False,000000,http://pbs.twimg.com/profile_images/378800000015611915/adc6a7d2adf5b2851f43b6f61c1a3de2_normal.jpeg,,1319927785448706048,0,False,FPTraffic,False,0,economy

b'PH COVID 19 CASES UPDATE The has confirmed 2 057 additional cases of the Coronavirus Disease 2019 COVID',2020-10-24 09:04:43,,en,,,394,11917,"We are connecting Philippine government policymakers with the global media, and promoting priority policy messages through engagements with foreign audiences.",,1070703202058698752,2018-12-06 15:35:10,True,False,,22,1773,False,,472,True,PCOO Global Media Affairs,,pcooglobalmedia,False,F5F8FA,http://pbs.twimg.com/profile_images/1106426311625457664/VMiZpzul_normal.jpg,,1319927794638336000,0,False,Twitter Web App,False,0,economy

b'DUMBASS REPUBLICANS IN HISTORY 1902 These liberal progressives want to put all the fan workers out of business',2020-10-24 09:04:45,,en,,,827,2617,,,1292167572436267016,2020-08-08 18:35:52,False,False,,0,37,False,,180,True,ZoeZoe,,ZoeZoe03316913,False,F5F8FA,http://pbs.twimg.com/profile_images/1292167940318650368/pmlU8pQ2_normal.jpg,,1319927800992813058,0,False,Twitter for iPhone,False,0,economy

b'Petition Hold a public inquiry into Government contracts granted during Covid 19',2020-10-24 09:04:47,,en,,,8120,420,,,218187139,2010-11-21 17:24:44,False,False,,0,87,False,,269,False,Rosie,,roshea88,False,101314,http://pbs.twimg.com/profile_images/1267374278963593217/U3MbQp5q_normal.jpg,,1319927807359787008,0,False,Twitter for Android,False,0,economy

b'With economy at its worst in 73 yrs and crores of jobs lost it is shameful that the ModiGovt is hell bent upon ex',2020-10-24 09:04:48,,en,,,125,5686,"ex-Army officer (39NDA/48 Reg IMA) ; editor, The Secular Saviour ; political analyst ; deeply committed to unity of secular forces ; joined INC in Nov 1980.",New Delhi,1911762607,2013-09-27 17:13:06,False,False,,1,630,False,,264,True,Praveen Davar,,PraveenDavar,True,C0DEED,http://pbs.twimg.com/profile_images/1249739186053120008/XcpYwaxw_normal.jpg,,1319927814116790272,0,False,Twitter for Android,False,0,economy

b'Trump has proven his disdain for seniors It s clear they don t care how many are killed by Covid 19 They',2020-10-24 09:04:50,,en,,,51827,45084,"Politically motivated; Environmentalist; Master�s prepared psychiatric RN. I tweet about politics, news & healthcare.",,400712166,2011-10-29 13:16:38,False,False,,7,2324,False,,654,False,Patricia Strong,,Patrykia,False,131516,http://pbs.twimg.com/profile_images/1706816167/cold_normal.gif,,1319927822723518464,0,False,Twitter for Android,False,0,economy

b'Novartis launches metastatic breast cancer Instagram series to address new patient concerns during COVID 19',2020-10-24 09:04:51,,en,,,1523,1416,We aim to put secondary breast cancer first. Front of mind. Top of the list.,"Edgware, London",720165511682764800,2016-04-13 08:23:32,False,False,https://www.secondary1st.org.uk/,6,817,False,,234,False,Secondary First,,2ndary1st,True,000000,http://pbs.twimg.com/profile_images/746778546836746240/rurQwdEa_normal.jpg,,1319927824208244736,0,False,Twitter for iPhone,False,0,economy

b'Hotel quarantine review recommends new options as Australia opens to travellers amid the COVID 19 pandemic',2020-10-24 09:04:51,,en,,,211,80424,"Co-operator, co-operation, co-operative values and principles, democracy instead of plutocracy, equality and solidarity with trade unions, truth and facts.","Melbourne, Victoria, Australia",1191855827667128320,2019-11-05 23:12:59,False,False,,5,2202,False,,5000,True,David Griffiths,,DavidGr07837209,False,F5F8FA,http://pbs.twimg.com/profile_images/1207098066697744384/I9TUUIhI_normal.jpg,,1319927824824762368,0,False,Twitter Web App,False,0,economy

b'China controls the economy U have to pick your battles wisely At the end of the day its a money game I agree with u btw',2020-10-24 09:04:51,,en,,,6325,7737,Awake For a Lifetime | No.1 JBP & Elon Fan. I choose the Red Pill.,"Kampala, Uganda",545725358,2012-04-05 05:55:47,False,False,,6,459,False,,592,False,H�nry,,Aheisibwe_,True,010103,http://pbs.twimg.com/profile_images/1279502363619819520/ovDFGQwc_normal.jpg,,1319927826141818880,0,False,Twitter for Android,False,0,economy

b'Premarket stocks Recession risk grows as Covid 19 cases continue to surge',2020-10-24 09:04:52,,en,,,20,202679,"Actor, reseller, humanist. Author of ""Leaving Worship"" and ""Trump's Cabinet"" as Steve Dustcircle. AUorg Ohio chair. https://get.stashinvest.com/stevene5ooy",Central Ohio,852219630873661440,2017-04-12 17:59:28,False,False,https://www.facebook.com/stevenhudsonactor/,13,416,False,,3637,True,Steven Hudson,,itsstevenhudson,False,F5F8FA,http://pbs.twimg.com/profile_images/852221188235567115/RBd7e5x4_normal.jpg,,1319927831435087872,0,False,Twitter Web App,False,0,economy

b'He said COVID 19 palliative not people s business',2020-10-24 09:04:53,,en,,,102,283,Easy going,Lagos,954255515588091904,2018-01-19 07:33:38,False,False,,0,331,False,,515,True,King Ibe,,kingibe2,True,F5F8FA,http://pbs.twimg.com/profile_images/1314293159187316738/LYUm7nB0_normal.jpg,,1319927834903805952,0,False,Twitter for iPhone,False,0,economy

b'Looking through the public communications from this government and its agencies throughout the pandemic could serv',2020-10-24 09:04:54,,en,,,11343,38447,"Writing & reading in equal measure & love all things literary| Interests include Education & health issues | Patient/carer/disability advocate| Member, Q |",Manchester,19393211,2009-01-23 13:11:31,False,False,https://asideview.wordpress.com/about/,127,1664,False,,1984,True,Christine Morgan,,Chris5anne,True,C0DEED,http://pbs.twimg.com/profile_images/1165981949590220800/ZxTqWJAv_normal.jpg,,1319927837663678465,0,False,Twitter for iPhone,False,0,economy

b'Alex Gonzaga revealed that she and her family have finally recovered from COVID 19 after contracting the disease a',2020-10-24 09:04:55,,en,,,34017,911776,"Balanced News, Fearless Views. Updates on and from the Philippines. Smartphone http://inq.news/app Tablet http://inq.news/inqplus Chat http://inq.news/chat",Makati City,15448383,2008-07-16 00:36:41,True,False,http://www.inquirer.net,5866,3171699,False,,1840,False,Inquirer,,inquirerdotnet,True,FFFFFF,http://pbs.twimg.com/profile_images/1243426237306949640/Kvl6P6xd_normal.jpg,,1319927843749584897,0,False,Echobox,False,0,economy

b'Global financial reset Bail out the banks again Covid 19 is the biggest ever scam pulled by Government worldwide',2020-10-24 09:04:55,,en,,,778,232,"Your mind is like a parachute, make sure it's open","

",1276857227241041921,2020-06-27 12:37:57,False,False,,1,67,False,,760,True,Anto Howard,,anto_howard,False,F5F8FA,http://pbs.twimg.com/profile_images/1277963075530842113/-gfm5dxq_normal.jpg,,1319927844349333504,0,False,Twitter for Android,False,0,economy

b'Aspirin may reduce risk of mechanical ventilation death in hospitalised patients with COVID 19 via',2020-10-24 09:04:59,,en,,,599,189,,,2187010188,2013-11-10 19:39:15,False,False,,2,25,False,,435,True,Oussama Itani,,itani_oussama,False,C0DEED,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1319927859574702080,0,False,Twitter Web App,False,0,economy

b'Dorado fishing Covid 19 on the malahini s and m landing San Diego',2020-10-24 09:04:59,,en,,,2,2,So Sinless it�s not even funny but only my Sinless Boys Know. Clothing is my life!,,1305238099421622272,2020-09-13 20:13:18,False,False,http://www.sinlessboysclothing.com,0,0,False,,2,True,London Patrick,,SinlessBoy1,False,F5F8FA,http://pbs.twimg.com/profile_images/1305238661777113089/LZ4ElDKq_normal.jpg,,1319927861076062208,0,False,Twitter for iPhone,False,0,economy

b'L M health care workers to demonstrate as COVID 19 cases among employees mount',2020-10-24 09:05:00,,en,,,1511,77289,"One of the few remaining public trust newspapers in the country, The Day and http://theday.com serve southeastern Connecticut and beyond.","New London, CT",29271212,2009-04-06 19:19:25,False,False,http://www.theday.com/,477,28834,False,,446,False,The Day,,thedayct,True,C6E2EE,http://pbs.twimg.com/profile_images/1128046326682353664/pc6mANLD_normal.png,,1319927863672528898,0,False,TweetDeck,False,0,economy

b'How many deaths please and how many over eighty Media have destroyed all economies across',2020-10-24 09:05:00,,en,,,10917,6883,,,326649560,2011-06-30 07:54:30,False,False,,1,90,False,,175,True,MJF,,MJFnh,True,C0DEED,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1319927863793995777,0,False,Twitter for Android,False,0,economy

b'Yes All these cited daily activities add to our capacity of lungs abd heart inturn the oxygen concentration in ou',2020-10-24 09:05:00,,en,"Place(_api=None, id='01bb0d06597ec364', url='https://api.twitter.com/1.1/geo/id/01bb0d06597ec364.json', place_type='city', name='Muscat', full_name='Muscat, Oman', country_code='OM', country='Oman', bounding_box=BoundingBox(_api=None, type='Polygon', coordinates=[[[58.262474, 23.452705], [58.262474, 23.645613], [58.665865, 23.645613], [58.665865, 23.452705]]]), attributes={})",,52679,34762,"Attorney and passionate marathon runner of 42k & 92k.
Social activist in the cause of Non-Resident Indians.
Sponsor of students of academic excellence.",,116367482,2010-02-22 05:59:23,False,False,,1,568,False,,580,True,Dr Rao,,DrRaoAttorney,True,C0DEED,http://pbs.twimg.com/profile_images/1230894390761140224/4zNHtcqz_normal.jpg,,1319927864293314560,0,False,Twitter for Android,False,0,economy

b'Chief executive of Pharmacist Support Hunt discusses how the charity has been supporting pharmacists d',2020-10-24 09:05:02,,en,,,1332,4866,The voice for community pharmacy in the UK. Follow us for all the latest pharmaceutical news and updates.,London,2801997757,2014-09-10 15:09:52,False,False,http://www.thepharmacist.co.uk/,43,3527,False,,1566,False,The Pharmacist,,Pharmacist_News,False,000000,http://pbs.twimg.com/profile_images/828639579288780801/Dwlwwy-I_normal.jpg,,1319927873071886338,0,False,Hootsuite Inc.,False,0,economy

b'We re Good To Go COVID 19 industry standard amp consumer mark is now available to provide a ring of confidence fo',2020-10-24 09:05:03,,en,,,863,6266,"Get the latest infomation, News and details of Events and Activities for Newcastle-under-Lyme Town Centre. Account managed by the Newcastle Under Lyme BID",Newcastle-under-Lyme,52821680,2009-07-01 19:21:03,False,False,http://www.newcastleunderlyme.org,69,5917,False,,723,False,Newcastle-under-Lyme,,NewcastleBID,True,C6E2EE,http://pbs.twimg.com/profile_images/864442185894068224/8gdDAKhJ_normal.jpg,,1319927875869528066,0,False,Hootsuite Inc.,False,0,economy

b'Covid 19 Hoarder Rips People Off A Stranger Teaches Him A Lesson via',2020-10-24 09:05:04,,en,,,281,2192,I am homeopathic physician.,Pakistan ,142233639,2010-05-10 09:52:23,False,False,,0,29,False,,267,True,humaira,,humairaismail,False,C0DEED,http://pbs.twimg.com/profile_images/1280906885659611137/d_uOQETr_normal.jpg,,1319927879761874945,0,False,Twitter Web App,False,0,economy

b'goodall has written his report on childpoverty with the inference that it is a recent Conservative governme',2020-10-24 09:05:04,,en,,,62,62,,,986311098,2012-12-03 09:57:05,False,False,,0,4,False,,40,True,Percival Blakeney Bt,,percyblakeneybt,False,C0DEED,http://pbs.twimg.com/profile_images/2926606941/7c520b810e4338c89934e275876341f1_normal.jpeg,,1319927882202943489,0,False,Twitter for iPhone,False,0,economy

b'Of course it is their right not to employ under current regulations Govt will just tax them to death and take the',2020-10-24 09:05:05,,en,,,11606,16503,Proud African Capitalist like my forefathers. Loss making Forex Trader. Blocking is prohibited. Windows open doors while Linux opens opportunities.,"Johannesburg, South Africa",58819553,2009-07-21 15:09:12,False,False,,0,692,False,,759,True,Mangalani,,mangalani,False,C0DEED,http://pbs.twimg.com/profile_images/1060112549260259328/nMCPMYxP_normal.jpg,,1319927883599613952,0,False,Twitter for iPhone,False,0,economy

b'What are you grateful for Am very grateful for the discovered Covid 19 palliatives And I appeal to the remaining',2020-10-24 09:05:06,,en,,,14,1113,"join Facebook group for daily Live Prayers
 https://www.facebook.com/groups/341152310295080/?ref=share

WE PRAY!
WE PROPHESY!
WE MOVE!","Lagos, Nigeria",190263037,2010-09-13 14:18:27,False,False,https://www.facebook.com/groups/341152310295080/?ref=share,0,14,False,,76,True,NON-DENOMINATIONAL online PRAYERS #EndSARS,,Blessingmadukaa,False,C0DEED,http://pbs.twimg.com/profile_images/1318037286358044672/UAUv077P_normal.jpg,,1319927887299026944,0,False,Twitter for Android,False,0,economy

b'Nigeria is a blessed country Let UK amp USA returned all the money our politicians keep in their banks amp economy th',2020-10-24 09:05:08,,en,,,0,1,"Simple & love meeting people!
Team player",,1319917341325561858,2020-10-24 08:24:19,False,False,,0,0,False,,30,True,Abdullahi,,Abdulla99280750,False,F5F8FA,http://pbs.twimg.com/profile_images/1319918071071596546/666NmPr8_normal.jpg,,1319927898216816640,0,False,Twitter Web App,False,0,economy

